站名,经度,纬度,等级
深圳,114.0600,22.5400,一等站
温州南,120.5919,27.9729,一等站
湖州,120.0300,30.8694,一等站
湘潭,112.9100,27.8300,一等站
湛江,110.3600,21.2700,一等站
滕州,117.1600,35.0800,二等站
满洲里,117.3800,49.6000,一等站
漠河,122.5400,52.9800,二等站
漯河,114.0200,33.5700,一等站
漳平,117.4200,25.2900,二等站
潍坊,119.1600,36.7100,一等站
潢川,115.0500,32.1300,一等站
焦作,113.2400,35.2200,二等站
燕岗,103.9000,29.5500,二等站
牙克石,120.7300,49.2900,二等站
牡丹江,129.6300,44.5800,特等站
玉林,110.1800,22.6300,一等站
玉泉,127.2000,45.4000,二等站
瑞安,120.5882,27.7728,二等站
白城,122.8400,45.6200,一等站
益阳,112.3600,28.5500,一等站
盘锦,122.0700,41.1200,一等站
石家庄,114.5100,38.0400,特等站
石家庄北,114.4600,38.0600,二等站
福州,119.3000,26.0700,一等站
秦皇岛,119.6000,39.9400,一等站
绥芬河,131.1500,44.4100,一等站
绩溪县,118.5854,30.0733,二等站
绵阳,104.6800,31.4700,一等站
聊城,115.9900,36.4500,一等站
肇东,125.9600,46.0500,二等站
自贡北,104.7800,29.3400,二等站
舒城,116.9400,31.4700,二等站
芜湖,118.3981,31.3538,一等站
芜湖南,118.3855,31.2543,二等站
苍南,120.4192,27.5335,二等站
苏州,120.5800,31.3000,一等站
荆门,112.2000,31.0400,一等站
萍乡,113.8500,27.6200,一等站
葫芦岛,120.8400,40.7100,二等站
蓟州,117.4000,40.0400,二等站
衡水,115.6700,37.7400,一等站
衡阳,112.5800,26.8900,一等站
衢州,118.8700,28.9400,二等站
襄阳,112.1200,32.0100,一等站
西宁,101.7800,36.6200,一等站
西安,108.9400,34.3400,特等站
西安东,109.1900,34.2800,二等站
西昌,102.2600,27.8900,二等站
讷河,124.8800,48.4800,二等站
许昌,113.8500,34.0200,一等站
贵港,109.6000,23.1100,二等站
贵溪,117.2213,28.2963,二等站
贵阳,106.6300,26.6500,特等站
赣州,114.9400,25.8300,一等站
连云港东,119.2200,34.7400,二等站
通辽,122.2400,43.6500,一等站
遵义,106.9300,27.7300,一等站
邢台,114.5000,37.0700,一等站
邯郸,114.4900,36.6300,一等站
邯郸南,114.4900,36.5500,一等站
邵武,117.4900,27.3400,二等站
邹城,116.9700,35.4000,二等站
郑州,113.6300,34.7500,特等站
郴州,113.0100,25.7700,一等站
都匀,107.5200,26.2600,二等站
重庆,106.5500,29.5600,一等站
重庆北,106.5500,29.6000,特等站
金华,119.6500,29.0800,一等站
金华南,119.7454,29.1204,二等站
金城江,108.0600,24.6900,二等站
铁岭,123.8400,42.2900,二等站
铜陵,117.8679,30.9250,二等站
银川,106.2300,38.4900,一等站
锦州,121.1300,41.1000,一等站
镇江,119.4400,32.1900,一等站
镇江东,119.4300,32.1900,二等站
长春,125.3200,43.8900,特等站
长春南,125.3000,43.8400,二等站
长沙,112.9400,28.2300,特等站
长治,113.1200,36.2000,二等站
阜阳,115.8100,32.8900,一等站
阳泉,113.5800,37.8600,二等站
阿城,126.9800,45.5300,二等站
青岛,120.3800,36.0700,特等站
青田,120.2866,28.1425,二等站
静海,116.9300,38.9500,二等站
韶关东,113.5900,24.8100,一等站
香坊,126.7000,45.7200,一等站
马头,114.3900,36.4400,二等站
马鞍山,118.5081,31.7138,二等站
驻马店,114.0200,33.0100,一等站
鹰潭,117.0700,28.2700,一等站
麻城,115.0300,31.1800,一等站
黄山,118.3279,29.7288,二等站
黄村,116.3300,39.7300,二等站
黄梅,115.9400,30.0700,二等站
黎塘,109.1100,23.2000,一等站
齐齐哈尔,123.9200,47.3400,特等站
龙岩,117.0300,25.1000,二等站
龙川,115.2600,24.1000,二等站
龙川北,115.2600,24.1000,一等站
