起点,终点,里程,线路
南阳,宝丰,108.1,焦柳线（连接：太原【通过太焦线
南阳,襄阳,114.5,焦柳线（连接：太原【通过太焦线
卧里屯,安达,10.8,滨洲铁路（连入京哈线，连接：哈尔滨）
卧里屯,杜尔伯特,75.3,滨洲铁路（连入京哈线，连接：哈尔滨）
厦门,厦门高崎,9.4,厦门-厦门高崎换乘|鹰厦铁路（连入沪昆线，连接：福州）
厦门,漳平,112.6,鹰厦铁路（连入沪昆线，连接：福州）
双桥,蓟州,71.9,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
双辽,四平,79.0,平齐铁路（连入京哈线、滨洲线，连接：长春【通过京哈线
双辽,太平川,95.8,平齐铁路（连入京哈线、滨洲线，连接：长春【通过京哈线
合肥,合肥西,3.6,合九铁路（连入京九线，连接：合肥）|合肥-合肥西换乘
合肥西,舒城,47.9,合九铁路（连入京九线，连接：合肥）
吉安,赣州,142.4,京九线（连接：北京、南昌）
吉林,图们,283.6,长图铁路（连入京哈线，连接：长春）
吉林,长春,98.8,长图铁路（连入京哈线，连接：长春）
向塘,新余,127.4,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
向塘,鹰潭,105.1,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）|鹰厦铁路（连入沪昆线，连接：福州）
呼和浩特,大同,155.4,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
咸阳,宝鸡,144.2,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
哈尔滨,新香坊,19.9,哈尔滨-新香坊换乘|滨绥铁路（连入京哈线，连接：哈尔滨）
哈尔滨,肇东,52.1,滨洲铁路（连入京哈线，连接：哈尔滨）
哈尔滨,长春,232.8,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
哈尔滨,香坊,15.9,哈尔滨-香坊换乘
唐山北,昌黎,87.5,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
唐山北,蓟州,76.6,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
商丘,徐州,149.7,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
商丘,聊城,228.8,京九线（连接：北京、南昌）
商丘,郑州,189.7,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
商丘,阜阳,169.6,京九线（连接：北京、南昌）
嘉兴,杭州东,73.4,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
四平,通辽,178.6,通四联络线（连入通让线、平齐线，连接：通辽）
四平,铁岭,106.3,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
四平,长春南,106.9,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
图们,牡丹江,179.9,图佳铁路（连入滨绥线，连接：哈尔滨【通过滨绥线
大安北,新肇,43.0,通让铁路（连入平齐铁路、京哈线，连接：哈尔滨【通过滨洲线
大安北,通辽,264.3,通让铁路（连入平齐铁路、京哈线，连接：哈尔滨【通过滨洲线
大庆西,新肇,119.0,通让铁路（连入平齐铁路、京哈线，连接：哈尔滨【通过滨洲线
大虎山,沈阳北,116.1,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
大虎山,锦州,96.8,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
天津西,静海,30.7,京沪线（连接：北京、天津、济南、南京、上海）|天津西-静海换乘
太原,榆次,23.6,太焦铁路（连入焦柳线，连接：太原）|石太铁路（连入京广线，连接：石家庄、太原）
太平川,白城,143.7,平齐铁路（连入京哈线、滨洲线，连接：长春【通过京哈线
太湖,宿松,36.6,合九铁路（连入京九线，连接：合肥）
太湖,怀宁,58.7,合九铁路（连入京九线，连接：合肥）
娄底,怀化,197.7,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）|焦柳线（连接：太原【通过太焦线
娄底,湘潭,90.7,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
娄底,益阳,100.9,焦柳线（连接：太原【通过太焦线
嫩江,讷河,81.7,富西铁路（连入滨洲线，连接：哈尔滨【通过滨洲线
宁德,福州,73.2,温福铁路（温州—福州）
宁德,苍南,125.9,温福铁路（温州—福州）
安康,西安东,177.4,西康铁路（连入陇海线、襄渝线，连接：西安、重庆）
安康,重庆,420.5,襄渝铁路（连入焦柳线、西康线，连接：重庆）|西康铁路（连入陇海线、襄渝线，连接：西安、重庆）
安达,肇东,62.3,滨洲铁路（连入京哈线，连接：哈尔滨）
安阳,新乡,97.8,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
安阳,马头,38.0,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
安顺,贵阳,81.0,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
宜宾南,自贡北,69.2,内六铁路（连入沪昆线、成渝线，连接：重庆、贵阳）
宜春,新余,51.2,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
宜春,萍乡,56.8,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
宝鸡,广元,244.8,宝成—成昆线（连接：西安【通过陇海线
宝鸡,西安,165.3,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
宣城,湖州,119.5,宣杭铁路
宣城,绩溪县,99.6,皖赣铁路
宣城,芜湖,57.6,皖赣铁路
宿松,黄梅,20.8,合九铁路（连入京九线，连接：合肥）
富裕,讷河,81.5,富西铁路（连入滨洲线，连接：哈尔滨【通过滨洲线
富裕,齐齐哈尔,65.7,富齐联络线（连入富西线、平齐线，连接：齐齐哈尔、漠河）
寿阳,榆次,43.8,石太铁路（连入京广线，连接：石家庄、太原）
寿阳,阳泉,38.9,石太铁路（连入京广线，连接：石家庄、太原）
山海关,秦皇岛,16.0,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
山海关,葫芦岛,121.1,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）|沈山铁路（连入京哈线、沈大线，连接：沈阳）
岳阳,武昌,171.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
岳阳,长沙,128.1,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
常州,无锡,48.0,京沪线（连接：北京、天津、济南、南京、上海）
常平,广州东,82.3,广深铁路（连入京广线、京九线，连接：广州）
常平,惠州,36.3,京九线（连接：北京、南昌）
常平,深圳,48.0,广深铁路（连入京广线、京九线，连接：广州）
常德,益阳,83.6,焦柳线（连接：太原【通过太焦线
常德,荆门,228.6,焦柳线（连接：太原【通过太焦线
平阳,瑞安,16.2,温福铁路（温州—福州）
平阳,苍南,17.0,温福铁路（温州—福州）
广元,绵阳,154.3,宝成—成昆线（连接：西安【通过陇海线
广安门,黄村,16.8,京九线（连接：北京、南昌）
广州,广州东,5.6,广州-广州东换乘|广深铁路（连入京广线、京九线，连接：广州）
广州,江村,25.5,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
广阳,黄村,20.1,京沪线（连接：北京、天津、济南、南京、上海）
徐州,连云港东,185.6,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
德州,泊头,74.0,京沪线（连接：北京、天津、济南、南京、上海）
德州,济南南,107.5,京沪线（连接：北京、天津、济南、南京、上海）
怀化,柳州,362.7,焦柳线（连接：太原【通过太焦线
怀化,贵阳,348.3,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
怀宁,桐城,39.1,合九铁路（连入京九线，连接：合肥）
惠州,龙川,139.4,京九线（连接：北京、南昌）
成都,燕岗,125.6,宝成—成昆线（连接：西安【通过陇海线
成都,绵阳,106.2,宝成—成昆线（连接：西安【通过陇海线
扎兰屯,杜尔伯特,180.6,滨洲铁路（连入京哈线，连接：哈尔滨）
扎兰屯,牙克石,205.9,滨洲铁路（连入京哈线，连接：哈尔滨）
扎赉诺尔西,满洲里,17.6,滨洲铁路（连入京哈线，连接：哈尔滨）
扎赉诺尔西,牙克石,229.9,滨洲铁路（连入京哈线，连接：哈尔滨）
拉萨,格尔木,828.2,青藏铁路（连入兰青线，连接：西宁、拉萨）
攀枝花,昆明,219.3,宝成—成昆线（连接：西安【通过陇海线
攀枝花,西昌,155.1,宝成—成昆线（连接：西安【通过陇海线
新乡,郑州,65.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
新香坊,香坊,4.7,滨绥铁路（连入京哈线，连接：哈尔滨）|香坊-新香坊换乘
无锡,苏州,33.2,京沪线（连接：北京、天津、济南、南京、上海）
昆明,曲靖,118.9,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
晋城,长治,82.6,太焦铁路（连入焦柳线，连接：太原）
景德镇,贵溪,110.7,皖赣铁路
景德镇,黄山,116.9,皖赣铁路
月山,焦作,20.0,焦柳线（连接：太原【通过太焦线
来舟,漳平,159.6,鹰厦铁路（连入沪昆线，连接：福州）
来舟,福州,141.4,来福铁路（连入鹰厦线，连入沪昆线，连接：福州）
来舟,邵武,95.7,鹰厦铁路（连入沪昆线，连接：福州）
杭州,杭州东,4.9,杭州-杭州东换乘
杭州,杭州北,10.6,宣杭铁路|杭州-杭州北换乘
杭州东,杭州北,9.4,杭州东-杭州北换乘
杭州东,金华,145.0,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
杭州北,湖州,61.3,宣杭铁路
枣庄西,滕州,30.4,京沪线（连接：北京、天津、济南、南京、上海）
柳州,桂林,136.5,湘桂铁路（连入京广线、焦柳线，连接：长沙、南宁）
柳州,金城江,143.3,黔桂铁路（连入沪昆线、焦柳线，连接：贵阳）
株洲,湘潭,21.6,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
株洲,萍乡,74.6,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
株洲,衡阳,117.8,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
株洲,长沙,48.2,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
格尔木,西宁,615.2,青藏铁路（连入兰青线，连接：西宁、拉萨）
桂林,衡阳,291.1,湘桂铁路（连入京广线、焦柳线，连接：长沙、南宁）
桐城,舒城,45.7,合九铁路（连入京九线，连接：合肥）
榆次,长治,170.7,太焦铁路（连入焦柳线，连接：太原）
武昌,武汉,6.7,武汉-武昌换乘
武昌,汉口,7.3,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）|汉口-武昌换乘
武汉,汉口,4.0,武汉-汉口换乘
武汉,麻城,95.7,麻武铁路（连入京广线、京九线，连接：武汉）
江村,韶关东,167.1,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
池州,铜陵,47.6,铜九铁路
沈阳,沈阳北,2.2,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）|沈山铁路（连入京哈线、沈大线，连接：沈阳）|沈阳-沈阳北换乘
沈阳,铁岭,63.2,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
沈阳北,盘锦,138.1,沈山铁路（连入京哈线、沈大线，连接：沈阳）
沙河市,邯郸南,34.5,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
沙河市,马头,47.7,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
沧州,泊头,33.4,京沪线（连接：北京、天津、济南、南京、上海）
沧州,静海,72.7,京沪线（连接：北京、天津、济南、南京、上海）
泰山,济南南,50.8,京沪线（连接：北京、天津、济南、南京、上海）
泰山,邹城,89.6,京沪线（连接：北京、天津、济南、南京、上海）
洛阳,西安,323.2,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
洛阳,郑州,108.9,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
济南,济南南,2.4,济南-济南南换乘|济南联络线（连入胶济线、京沪线，连接：济南）
济南,淄博,94.8,胶济铁路（连入京沪线，连接：济南）
淄博,潍坊,99.5,胶济铁路（连入京沪线，连接：济南）
温州南,瑞安,22.2,温福铁路（温州—福州）
温州南,青田,35.4,金温铁路（金华—温州）
湛江,玉林,152.4,黎湛铁路（连入湘桂线，连接：南宁）
滕州,邹城,39.5,京沪线（连接：北京、天津、济南、南京、上海）
漯河,许昌,52.4,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
漯河,驻马店,62.3,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
漳平,龙岩,44.6,漳龙铁路
潍坊,青岛,130.3,胶济铁路（连入京沪线，连接：济南）
潢川,阜阳,110.5,京九线（连接：北京、南昌）
潢川,麻城,105.7,京九线（连接：北京、南昌）
燕岗,西昌,244.2,宝成—成昆线（连接：西安【通过陇海线
牡丹江,绥芬河,122.0,滨绥铁路（连入京哈线，连接：哈尔滨）
玉林,贵港,79.9,黎湛铁路（连入湘桂线，连接：南宁）
玉泉,阿城,22.4,滨绥铁路（连入京哈线，连接：哈尔滨）
白城,齐齐哈尔,208.4,平齐铁路（连入京哈线、滨洲线，连接：长春【通过京哈线
盘锦,锦州,78.8,沈山铁路（连入京哈线、沈大线，连接：沈阳）
石家庄,石家庄北,4.9,石太铁路（连入京广线，连接：石家庄、太原）|石家庄-石家庄北换乘
石家庄,邢台,107.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
绩溪县,黄山,45.7,皖赣铁路
聊城,衡水,146.2,京九线（连接：北京、南昌）
芜湖,芜湖南,11.1,芜湖-芜湖南换乘
芜湖南,马鞍山,52.4,宁芜铁路
荆门,襄阳,108.1,焦柳线（连接：太原【通过太焦线
葫芦岛,锦州,49.7,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）|沈山铁路（连入京哈线、沈大线，连接：沈阳）
衡阳,郴州,131.7,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
衡阳,长沙,153.2,湘桂铁路（连入京广线、焦柳线，连接：长沙、南宁）
衢州,金华,77.4,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
西安,西安东,23.9,西安-西安东换乘|西康铁路（连入陇海线、襄渝线，连接：西安、重庆）
许昌,郑州,83.6,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
贵港,黎塘,51.1,黎湛铁路（连入湘桂线，连接：南宁）
贵溪,鹰潭,15.1,皖赣铁路
贵阳,遵义,123.7,川黔铁路（连入沪昆线、成渝线，连接：重庆、贵阳）
贵阳,都匀,98.6,黔桂铁路（连入沪昆线、焦柳线，连接：贵阳）
赣州,龙川北,195.1,京九线（连接：北京、南昌）
遵义,重庆,206.8,川黔铁路（连入沪昆线、成渝线，连接：重庆、贵阳）
邢台,邯郸,48.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
邯郸,邯郸南,8.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
邵武,鹰潭,111.4,鹰厦铁路（连入沪昆线，连接：福州）
郴州,韶关东,121.6,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
都匀,金城江,182.8,黔桂铁路（连入沪昆线、焦柳线，连接：贵阳）
重庆,重庆北,4.4,重庆-重庆北换乘
铜陵,马鞍山,106.7,宁铜铁路
镇江,镇江东,0.9,京沪线（连接：北京、天津、济南、南京、上海）
长春,长春南,5.8,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）|长春-长春南换乘
阿城,香坊,30.3,滨绥铁路（连入京哈线，连接：哈尔滨）
龙岩,龙川,210.7,漳龙铁路
龙川,龙川北,0.0,京九线（连接：北京、南昌）
